date,sales,day_of_week,month,year,is_weekend,season
2022-06-25,131,Saturday,6,2022,1,Summer
2022-06-26,108,Sunday,6,2022,1,Summer
2022-06-27,95,Monday,6,2022,0,Summer
2022-06-28,81,Tuesday,6,2022,0,Summer
2022-06-29,105,Wednesday,6,2022,0,Summer
2022-06-30,88,Thursday,6,2022,0,Summer
2022-07-01,162,Friday,7,2022,0,Summer
2022-07-02,203,Saturday,7,2022,1,Summer
2022-07-03,187,Sunday,7,2022,1,Summer
2022-07-04,139,Monday,7,2022,0,Summer
2022-07-05,147,Tuesday,7,2022,0,Summer
2022-07-06,145,Wednesday,7,2022,0,Summer
2022-07-07,141,Thursday,7,2022,0,Summer
2022-07-08,163,Friday,7,2022,0,Summer
2022-07-09,200,Saturday,7,2022,1,Summer
2022-07-10,180,Sunday,7,2022,1,Summer
2022-07-11,148,Monday,7,2022,0,Summer
2022-07-12,143,Tuesday,7,2022,0,Summer
2022-07-13,131,Wednesday,7,2022,0,Summer
2022-07-14,143,Thursday,7,2022,0,Summer
2022-07-15,173,Friday,7,2022,0,Summer
2022-07-16,205,Saturday,7,2022,1,Summer
2022-07-17,185,Sunday,7,2022,1,Summer
2022-07-18,142,Monday,7,2022,0,Summer
2022-07-19,132,Tuesday,7,2022,0,Summer
2022-07-20,144,Wednesday,7,2022,0,Summer
2022-07-21,146,Thursday,7,2022,0,Summer
2022-07-22,179,Friday,7,2022,0,Summer
2022-07-23,221,Saturday,7,2022,1,Summer
2022-07-24,173,Sunday,7,2022,1,Summer
2022-07-25,134,Monday,7,2022,0,Summer
2022-07-26,146,Tuesday,7,2022,0,Summer
2022-07-27,146,Wednesday,7,2022,0,Summer
2022-07-28,146,Thursday,7,2022,0,Summer
2022-07-29,201,Friday,7,2022,0,Summer
2022-07-30,217,Saturday,7,2022,1,Summer
2022-07-31,194,Sunday,7,2022,1,Summer
2022-08-01,91,Monday,8,2022,0,Summer
2022-08-02,89,Tuesday,8,2022,0,Summer
2022-08-03,81,Wednesday,8,2022,0,Summer
2022-08-04,90,Thursday,8,2022,0,Summer
2022-08-05,94,Friday,8,2022,0,Summer
2022-08-06,123,Saturday,8,2022,1,Summer
2022-08-07,105,Sunday,8,2022,1,Summer
2022-08-08,84,Monday,8,2022,0,Summer
2022-08-09,102,Tuesday,8,2022,0,Summer
2022-08-10,69,Wednesday,8,2022,0,Summer
2022-08-11,89,Thursday,8,2022,0,Summer
2022-08-12,88,Friday,8,2022,0,Summer
2022-08-13,122,Saturday,8,2022,1,Summer
2022-08-14,118,Sunday,8,2022,1,Summer
2022-08-15,84,Monday,8,2022,0,Summer
2022-08-16,75,Tuesday,8,2022,0,Summer
2022-08-17,78,Wednesday,8,2022,0,Summer
2022-08-18,89,Thursday,8,2022,0,Summer
2022-08-19,95,Friday,8,2022,0,Summer
2022-08-20,127,Saturday,8,2022,1,Summer
2022-08-21,109,Sunday,8,2022,1,Summer
2022-08-22,79,Monday,8,2022,0,Summer
2022-08-23,101,Tuesday,8,2022,0,Summer
2022-08-24,89,Wednesday,8,2022,0,Summer
2022-08-25,68,Thursday,8,2022,0,Summer
2022-08-26,102,Friday,8,2022,0,Summer
2022-08-27,121,Saturday,8,2022,1,Summer
2022-08-28,116,Sunday,8,2022,1,Summer
2022-08-29,78,Monday,8,2022,0,Summer
2022-08-30,83,Tuesday,8,2022,0,Summer
2022-08-31,88,Wednesday,8,2022,0,Summer
2022-09-01,242,Thursday,9,2022,0,Autumn
2022-09-02,273,Friday,9,2022,0,Autumn
2022-09-03,350,Saturday,9,2022,1,Autumn
2022-09-04,302,Sunday,9,2022,1,Autumn
2022-09-05,230,Monday,9,2022,0,Autumn
2022-09-06,250,Tuesday,9,2022,0,Autumn
2022-09-07,239,Wednesday,9,2022,0,Autumn
2022-09-08,225,Thursday,9,2022,0,Autumn
2022-09-09,290,Friday,9,2022,0,Autumn
2022-09-10,370,Saturday,9,2022,1,Autumn
2022-09-11,315,Sunday,9,2022,1,Autumn
2022-09-12,224,Monday,9,2022,0,Autumn
2022-09-13,232,Tuesday,9,2022,0,Autumn
2022-09-14,246,Wednesday,9,2022,0,Autumn
2022-09-15,230,Thursday,9,2022,0,Autumn
2022-09-16,180,Friday,9,2022,0,Autumn
2022-09-17,227,Saturday,9,2022,1,Autumn
2022-09-18,184,Sunday,9,2022,1,Autumn
2022-09-19,147,Monday,9,2022,0,Autumn
2022-09-20,122,Tuesday,9,2022,0,Autumn
2022-09-21,139,Wednesday,9,2022,0,Autumn
2022-09-22,146,Thursday,9,2022,0,Autumn
2022-09-23,167,Friday,9,2022,0,Autumn
2022-09-24,235,Saturday,9,2022,1,Autumn
2022-09-25,181,Sunday,9,2022,1,Autumn
2022-09-26,144,Monday,9,2022,0,Autumn
2022-09-27,149,Tuesday,9,2022,0,Autumn
2022-09-28,159,Wednesday,9,2022,0,Autumn
2022-09-29,136,Thursday,9,2022,0,Autumn
2022-09-30,187,Friday,9,2022,0,Autumn
2022-10-01,222,Saturday,10,2022,1,Autumn
2022-10-02,184,Sunday,10,2022,1,Autumn
2022-10-03,152,Monday,10,2022,0,Autumn
2022-10-04,150,Tuesday,10,2022,0,Autumn
2022-10-05,143,Wednesday,10,2022,0,Autumn
2022-10-06,149,Thursday,10,2022,0,Autumn
2022-10-07,175,Friday,10,2022,0,Autumn
2022-10-08,223,Saturday,10,2022,1,Autumn
2022-10-09,198,Sunday,10,2022,1,Autumn
2022-10-10,161,Monday,10,2022,0,Autumn
2022-10-11,138,Tuesday,10,2022,0,Autumn
2022-10-12,165,Wednesday,10,2022,0,Autumn
2022-10-13,133,Thursday,10,2022,0,Autumn
2022-10-14,177,Friday,10,2022,0,Autumn
2022-10-15,227,Saturday,10,2022,1,Autumn
2022-10-16,195,Sunday,10,2022,1,Autumn
2022-10-17,143,Monday,10,2022,0,Autumn
2022-10-18,147,Tuesday,10,2022,0,Autumn
2022-10-19,144,Wednesday,10,2022,0,Autumn
2022-10-20,144,Thursday,10,2022,0,Autumn
2022-10-21,185,Friday,10,2022,0,Autumn
2022-10-22,226,Saturday,10,2022,1,Autumn
2022-10-23,188,Sunday,10,2022,1,Autumn
2022-10-24,156,Monday,10,2022,0,Autumn
2022-10-25,151,Tuesday,10,2022,0,Autumn
2022-10-26,155,Wednesday,10,2022,0,Autumn
2022-10-27,154,Thursday,10,2022,0,Autumn
2022-10-28,172,Friday,10,2022,0,Autumn
2022-10-29,219,Saturday,10,2022,1,Autumn
2022-10-30,199,Sunday,10,2022,1,Autumn
2022-10-31,154,Monday,10,2022,0,Autumn
2022-11-01,149,Tuesday,11,2022,0,Autumn
2022-11-02,150,Wednesday,11,2022,0,Autumn
2022-11-03,159,Thursday,11,2022,0,Autumn
2022-11-04,174,Friday,11,2022,0,Autumn
2022-11-05,228,Saturday,11,2022,1,Autumn
2022-11-06,192,Sunday,11,2022,1,Autumn
2022-11-07,147,Monday,11,2022,0,Autumn
2022-11-08,158,Tuesday,11,2022,0,Autumn
2022-11-09,156,Wednesday,11,2022,0,Autumn
2022-11-10,156,Thursday,11,2022,0,Autumn
2022-11-11,189,Friday,11,2022,0,Autumn
2022-11-12,224,Saturday,11,2022,1,Autumn
2022-11-13,199,Sunday,11,2022,1,Autumn
2022-11-14,147,Monday,11,2022,0,Autumn
2022-11-15,152,Tuesday,11,2022,0,Autumn
2022-11-16,148,Wednesday,11,2022,0,Autumn
2022-11-17,150,Thursday,11,2022,0,Autumn
2022-11-18,184,Friday,11,2022,0,Autumn
2022-11-19,217,Saturday,11,2022,1,Autumn
2022-11-20,211,Sunday,11,2022,1,Autumn
2022-11-21,141,Monday,11,2022,0,Autumn
2022-11-22,140,Tuesday,11,2022,0,Autumn
2022-11-23,159,Wednesday,11,2022,0,Autumn
2022-11-24,156,Thursday,11,2022,0,Autumn
2022-11-25,453,Friday,11,2022,0,Autumn
2022-11-26,229,Saturday,11,2022,1,Autumn
2022-11-27,194,Sunday,11,2022,1,Autumn
2022-11-28,142,Monday,11,2022,0,Autumn
2022-11-29,150,Tuesday,11,2022,0,Autumn
2022-11-30,144,Wednesday,11,2022,0,Autumn
2022-12-01,147,Thursday,12,2022,0,Winter
2022-12-02,166,Friday,12,2022,0,Winter
2022-12-03,202,Saturday,12,2022,1,Winter
2022-12-04,178,Sunday,12,2022,1,Winter
2022-12-05,142,Monday,12,2022,0,Winter
2022-12-06,135,Tuesday,12,2022,0,Winter
2022-12-07,133,Wednesday,12,2022,0,Winter
2022-12-08,141,Thursday,12,2022,0,Winter
2022-12-09,169,Friday,12,2022,0,Winter
2022-12-10,205,Saturday,12,2022,1,Winter
2022-12-11,177,Sunday,12,2022,1,Winter
2022-12-12,141,Monday,12,2022,0,Winter
2022-12-13,128,Tuesday,12,2022,0,Winter
2022-12-14,128,Wednesday,12,2022,0,Winter
2022-12-15,134,Thursday,12,2022,0,Winter
2022-12-16,165,Friday,12,2022,0,Winter
2022-12-17,212,Saturday,12,2022,1,Winter
2022-12-18,193,Sunday,12,2022,1,Winter
2022-12-19,146,Monday,12,2022,0,Winter
2022-12-20,138,Tuesday,12,2022,0,Winter
2022-12-21,139,Wednesday,12,2022,0,Winter
2022-12-22,131,Thursday,12,2022,0,Winter
2022-12-23,167,Friday,12,2022,0,Winter
2022-12-24,207,Saturday,12,2022,1,Winter
2022-12-25,184,Sunday,12,2022,1,Winter
2022-12-26,133,Monday,12,2022,0,Winter
2022-12-27,144,Tuesday,12,2022,0,Winter
2022-12-28,152,Wednesday,12,2022,0,Winter
2022-12-29,139,Thursday,12,2022,0,Winter
2022-12-30,171,Friday,12,2022,0,Winter
2022-12-31,215,Saturday,12,2022,1,Winter
2023-01-01,324,Sunday,1,2023,1,Winter
2023-01-02,253,Monday,1,2023,0,Winter
2023-01-03,252,Tuesday,1,2023,0,Winter
2023-01-04,252,Wednesday,1,2023,0,Winter
2023-01-05,246,Thursday,1,2023,0,Winter
2023-01-06,302,Friday,1,2023,0,Winter
2023-01-07,382,Saturday,1,2023,1,Winter
2023-01-08,339,Sunday,1,2023,1,Winter
2023-01-09,260,Monday,1,2023,0,Winter
2023-01-10,269,Tuesday,1,2023,0,Winter
2023-01-11,246,Wednesday,1,2023,0,Winter
2023-01-12,259,Thursday,1,2023,0,Winter
2023-01-13,304,Friday,1,2023,0,Winter
2023-01-14,396,Saturday,1,2023,1,Winter
2023-01-15,321,Sunday,1,2023,1,Winter
2023-01-16,246,Monday,1,2023,0,Winter
2023-01-17,248,Tuesday,1,2023,0,Winter
2023-01-18,235,Wednesday,1,2023,0,Winter
2023-01-19,248,Thursday,1,2023,0,Winter
2023-01-20,297,Friday,1,2023,0,Winter
2023-01-21,380,Saturday,1,2023,1,Winter
2023-01-22,331,Sunday,1,2023,1,Winter
2023-01-23,268,Monday,1,2023,0,Winter
2023-01-24,260,Tuesday,1,2023,0,Winter
2023-01-25,248,Wednesday,1,2023,0,Winter
2023-01-26,246,Thursday,1,2023,0,Winter
2023-01-27,307,Friday,1,2023,0,Winter
2023-01-28,369,Saturday,1,2023,1,Winter
2023-01-29,343,Sunday,1,2023,1,Winter
2023-01-30,262,Monday,1,2023,0,Winter
2023-01-31,249,Tuesday,1,2023,0,Winter
2023-02-01,127,Wednesday,2,2023,0,Winter
2023-02-02,151,Thursday,2,2023,0,Winter
2023-02-03,168,Friday,2,2023,0,Winter
2023-02-04,221,Saturday,2,2023,1,Winter
2023-02-05,170,Sunday,2,2023,1,Winter
2023-02-06,136,Monday,2,2023,0,Winter
2023-02-07,141,Tuesday,2,2023,0,Winter
2023-02-08,141,Wednesday,2,2023,0,Winter
2023-02-09,137,Thursday,2,2023,0,Winter
2023-02-10,174,Friday,2,2023,0,Winter
2023-02-11,203,Saturday,2,2023,1,Winter
2023-02-12,182,Sunday,2,2023,1,Winter
2023-02-13,142,Monday,2,2023,0,Winter
2023-02-14,145,Tuesday,2,2023,0,Winter
2023-02-15,147,Wednesday,2,2023,0,Winter
2023-02-16,132,Thursday,2,2023,0,Winter
2023-02-17,157,Friday,2,2023,0,Winter
2023-02-18,222,Saturday,2,2023,1,Winter
2023-02-19,186,Sunday,2,2023,1,Winter
2023-02-20,135,Monday,2,2023,0,Winter
2023-02-21,154,Tuesday,2,2023,0,Winter
2023-02-22,142,Wednesday,2,2023,0,Winter
2023-02-23,151,Thursday,2,2023,0,Winter
2023-02-24,170,Friday,2,2023,0,Winter
2023-02-25,228,Saturday,2,2023,1,Winter
2023-02-26,198,Sunday,2,2023,1,Winter
2023-02-27,139,Monday,2,2023,0,Winter
2023-02-28,149,Tuesday,2,2023,0,Winter
2023-03-01,114,Wednesday,3,2023,0,Spring
2023-03-02,120,Thursday,3,2023,0,Spring
2023-03-03,123,Friday,3,2023,0,Spring
2023-03-04,169,Saturday,3,2023,1,Spring
2023-03-05,150,Sunday,3,2023,1,Spring
2023-03-06,95,Monday,3,2023,0,Spring
2023-03-07,99,Tuesday,3,2023,0,Spring
2023-03-08,93,Wednesday,3,2023,0,Spring
2023-03-09,107,Thursday,3,2023,0,Spring
2023-03-10,136,Friday,3,2023,0,Spring
2023-03-11,175,Saturday,3,2023,1,Spring
2023-03-12,142,Sunday,3,2023,1,Spring
2023-03-13,122,Monday,3,2023,0,Spring
2023-03-14,98,Tuesday,3,2023,0,Spring
2023-03-15,95,Wednesday,3,2023,0,Spring
2023-03-16,109,Thursday,3,2023,0,Spring
2023-03-17,134,Friday,3,2023,0,Spring
2023-03-18,163,Saturday,3,2023,1,Spring
2023-03-19,125,Sunday,3,2023,1,Spring
2023-03-20,108,Monday,3,2023,0,Spring
2023-03-21,99,Tuesday,3,2023,0,Spring
2023-03-22,115,Wednesday,3,2023,0,Spring
2023-03-23,112,Thursday,3,2023,0,Spring
2023-03-24,124,Friday,3,2023,0,Spring
2023-03-25,160,Saturday,3,2023,1,Spring
2023-03-26,134,Sunday,3,2023,1,Spring
2023-03-27,109,Monday,3,2023,0,Spring
2023-03-28,117,Tuesday,3,2023,0,Spring
2023-03-29,101,Wednesday,3,2023,0,Spring
2023-03-30,113,Thursday,3,2023,0,Spring
2023-03-31,127,Friday,3,2023,0,Spring
2023-04-01,158,Saturday,4,2023,1,Spring
2023-04-02,141,Sunday,4,2023,1,Spring
2023-04-03,101,Monday,4,2023,0,Spring
2023-04-04,105,Tuesday,4,2023,0,Spring
2023-04-05,100,Wednesday,4,2023,0,Spring
2023-04-06,125,Thursday,4,2023,0,Spring
2023-04-07,132,Friday,4,2023,0,Spring
2023-04-08,159,Saturday,4,2023,1,Spring
2023-04-09,144,Sunday,4,2023,1,Spring
2023-04-10,109,Monday,4,2023,0,Spring
2023-04-11,108,Tuesday,4,2023,0,Spring
2023-04-12,115,Wednesday,4,2023,0,Spring
2023-04-13,116,Thursday,4,2023,0,Spring
2023-04-14,127,Friday,4,2023,0,Spring
2023-04-15,160,Saturday,4,2023,1,Spring
2023-04-16,140,Sunday,4,2023,1,Spring
2023-04-17,91,Monday,4,2023,0,Spring
2023-04-18,98,Tuesday,4,2023,0,Spring
2023-04-19,121,Wednesday,4,2023,0,Spring
2023-04-20,123,Thursday,4,2023,0,Spring
2023-04-21,130,Friday,4,2023,0,Spring
2023-04-22,169,Saturday,4,2023,1,Spring
2023-04-23,145,Sunday,4,2023,1,Spring
2023-04-24,134,Monday,4,2023,0,Spring
2023-04-25,119,Tuesday,4,2023,0,Spring
2023-04-26,109,Wednesday,4,2023,0,Spring
2023-04-27,102,Thursday,4,2023,0,Spring
2023-04-28,119,Friday,4,2023,0,Spring
2023-04-29,167,Saturday,4,2023,1,Spring
2023-04-30,137,Sunday,4,2023,1,Spring
2023-05-01,99,Monday,5,2023,0,Spring
2023-05-02,105,Tuesday,5,2023,0,Spring
2023-05-03,101,Wednesday,5,2023,0,Spring
2023-05-04,124,Thursday,5,2023,0,Spring
2023-05-05,139,Friday,5,2023,0,Spring
2023-05-06,165,Saturday,5,2023,1,Spring
2023-05-07,155,Sunday,5,2023,1,Spring
2023-05-08,111,Monday,5,2023,0,Spring
2023-05-09,103,Tuesday,5,2023,0,Spring
2023-05-10,122,Wednesday,5,2023,0,Spring
2023-05-11,114,Thursday,5,2023,0,Spring
2023-05-12,124,Friday,5,2023,0,Spring
2023-05-13,164,Saturday,5,2023,1,Spring
2023-05-14,136,Sunday,5,2023,1,Spring
2023-05-15,99,Monday,5,2023,0,Spring
2023-05-16,118,Tuesday,5,2023,0,Spring
2023-05-17,126,Wednesday,5,2023,0,Spring
2023-05-18,99,Thursday,5,2023,0,Spring
2023-05-19,137,Friday,5,2023,0,Spring
2023-05-20,160,Saturday,5,2023,1,Spring
2023-05-21,140,Sunday,5,2023,1,Spring
2023-05-22,106,Monday,5,2023,0,Spring
2023-05-23,104,Tuesday,5,2023,0,Spring
2023-05-24,111,Wednesday,5,2023,0,Spring
2023-05-25,104,Thursday,5,2023,0,Spring
2023-05-26,135,Friday,5,2023,0,Spring
2023-05-27,165,Saturday,5,2023,1,Spring
2023-05-28,142,Sunday,5,2023,1,Spring
2023-05-29,103,Monday,5,2023,0,Spring
2023-05-30,106,Tuesday,5,2023,0,Spring
2023-05-31,117,Wednesday,5,2023,0,Spring
2023-06-01,93,Thursday,6,2023,0,Summer
2023-06-02,98,Friday,6,2023,0,Summer
2023-06-03,134,Saturday,6,2023,1,Summer
2023-06-04,121,Sunday,6,2023,1,Summer
2023-06-05,75,Monday,6,2023,0,Summer
2023-06-06,93,Tuesday,6,2023,0,Summer
2023-06-07,83,Wednesday,6,2023,0,Summer
2023-06-08,93,Thursday,6,2023,0,Summer
2023-06-09,100,Friday,6,2023,0,Summer
2023-06-10,119,Saturday,6,2023,1,Summer
2023-06-11,102,Sunday,6,2023,1,Summer
2023-06-12,89,Monday,6,2023,0,Summer
2023-06-13,91,Tuesday,6,2023,0,Summer
2023-06-14,81,Wednesday,6,2023,0,Summer
2023-06-15,94,Thursday,6,2023,0,Summer
2023-06-16,93,Friday,6,2023,0,Summer
2023-06-17,133,Saturday,6,2023,1,Summer
2023-06-18,106,Sunday,6,2023,1,Summer
2023-06-19,84,Monday,6,2023,0,Summer
2023-06-20,89,Tuesday,6,2023,0,Summer
2023-06-21,82,Wednesday,6,2023,0,Summer
2023-06-22,86,Thursday,6,2023,0,Summer
2023-06-23,115,Friday,6,2023,0,Summer
2023-06-24,129,Saturday,6,2023,1,Summer
2023-06-25,122,Sunday,6,2023,1,Summer
2023-06-26,80,Monday,6,2023,0,Summer
2023-06-27,93,Tuesday,6,2023,0,Summer
2023-06-28,100,Wednesday,6,2023,0,Summer
2023-06-29,69,Thursday,6,2023,0,Summer
2023-06-30,100,Friday,6,2023,0,Summer
2023-07-01,232,Saturday,7,2023,1,Summer
2023-07-02,195,Sunday,7,2023,1,Summer
2023-07-03,154,Monday,7,2023,0,Summer
2023-07-04,147,Tuesday,7,2023,0,Summer
2023-07-05,152,Wednesday,7,2023,0,Summer
2023-07-06,150,Thursday,7,2023,0,Summer
2023-07-07,191,Friday,7,2023,0,Summer
2023-07-08,229,Saturday,7,2023,1,Summer
